gene,essential
Avin_00080,True
Avin_00090,False
Avin_00100,True
Avin_00110,True
Avin_00130,False
Avin_00160,True
Avin_00220,True
Avin_00230,True
Avin_00250,False
Avin_00380,False
Avin_00500,False
Avin_00530,False
Avin_00650,True
Avin_00690,False
Avin_00800,False
Avin_00810,False
Avin_00830,False
Avin_00840,False
Avin_00850,False
Avin_00860,False
Avin_00940,False
Avin_00950,False
Avin_00990,False
Avin_01010,False
Avin_01020,False
Avin_01060,False
Avin_01180,False
Avin_01190,False
Avin_01200,True
Avin_01220,False
Avin_01280,False
Avin_01330,False
Avin_01340,False
Avin_01350,False
Avin_01380,False
Avin_01450,False
Avin_01480,False
Avin_01620,False
Avin_01630,False
Avin_01640,False
Avin_01650,False
Avin_01680,False
Avin_01690,False
Avin_01710,False
Avin_01780,False
Avin_01840,False
Avin_01860,False
Avin_01880,False
Avin_01990,False
Avin_02020,False
Avin_02050,True
Avin_02120,True
Avin_02130,False
Avin_02230,False
Avin_02470,False
Avin_02480,False
Avin_02540,False
Avin_02550,False
Avin_02560,False
Avin_02660,False
Avin_02690,False
Avin_02700,False
Avin_02710,False
Avin_02810,True
Avin_02830,True
Avin_02880,True
Avin_02900,False
Avin_02910,True
Avin_02920,True
Avin_02930,False
Avin_02950,False
Avin_02970,False
Avin_02980,False
Avin_03000,False
Avin_03010,True
Avin_03040,True
Avin_03070,False
Avin_03120,True
Avin_03160,False
Avin_03170,False
Avin_03210,True
Avin_03310,True
Avin_03370,False
Avin_03420,False
Avin_03460,False
Avin_03490,False
Avin_03550,True
Avin_03570,False
Avin_03600,False
Avin_03620,False
Avin_03630,False
Avin_03640,False
Avin_03650,False
Avin_03680,False
Avin_03720,False
Avin_03770,False
Avin_03780,False
Avin_03810,False
Avin_03820,False
Avin_03830,False
Avin_03840,False
Avin_03850,False
Avin_04030,False
Avin_04080,False
Avin_04130,False
Avin_04150,False
Avin_04390,False
Avin_04400,True
Avin_04470,False
Avin_04480,False
Avin_04500,False
Avin_04590,True
Avin_04600,True
Avin_04620,True
Avin_04630,True
Avin_04670,False
Avin_04690,False
Avin_04730,False
Avin_04870,False
Avin_04880,False
Avin_04910,False
Avin_04920,False
Avin_04960,False
Avin_05000,False
Avin_05020,False
Avin_05090,False
Avin_05240,False
Avin_05250,False
Avin_05260,False
Avin_05280,False
Avin_05410,False
Avin_05450,False
Avin_05480,True
Avin_05490,False
Avin_05500,False
Avin_05510,False
Avin_05530,True
Avin_05570,False
Avin_05580,False
Avin_05590,False
Avin_05600,False
Avin_05750,False
Avin_05780,False
Avin_05800,False
Avin_05840,False
Avin_05880,False
Avin_05920,False
Avin_05940,False
Avin_05980,True
Avin_05990,False
Avin_06000,False
Avin_06010,False
Avin_06030,False
Avin_06710,True
Avin_06730,False
Avin_06740,True
Avin_06750,True
Avin_06770,True
Avin_06780,False
Avin_06800,False
Avin_06810,False
Avin_06880,True
Avin_06890,False
Avin_06950,True
Avin_06960,False
Avin_06970,False
Avin_06980,False
Avin_07010,False
Avin_07050,False
Avin_07080,False
Avin_07120,False
Avin_07140,False
Avin_07280,False
Avin_07290,False
Avin_07300,False
Avin_07310,False
Avin_07320,False
Avin_07370,False
Avin_07410,True
Avin_07440,True
Avin_07460,False
Avin_07490,False
Avin_07510,False
Avin_07550,False
Avin_07600,False
Avin_07690,False
Avin_07740,False
Avin_07750,False
Avin_07810,False
Avin_07830,False
Avin_07860,False
Avin_07870,False
Avin_07880,False
Avin_07940,False
Avin_07960,False
Avin_07980,False
Avin_08000,False
Avin_08030,False
Avin_08040,False
Avin_08080,False
Avin_08090,False
Avin_08100,False
Avin_08130,False
Avin_08170,False
Avin_08240,False
Avin_08330,False
Avin_08340,False
Avin_08350,True
Avin_08360,True
Avin_08390,False
Avin_08410,True
Avin_08430,True
Avin_08450,False
Avin_08460,True
Avin_08520,False
Avin_08530,False
Avin_08540,False
Avin_08590,False
Avin_08600,False
Avin_08610,False
Avin_08620,False
Avin_08670,True
Avin_08680,False
Avin_08700,False
Avin_08720,False
Avin_08730,False
Avin_08740,False
Avin_08790,False
Avin_08800,False
Avin_08990,False
Avin_09000,True
Avin_09030,True
Avin_09040,False
Avin_09150,False
Avin_09190,False
Avin_09220,False
Avin_09230,False
Avin_09240,False
Avin_09260,True
Avin_09270,False
Avin_09280,True
Avin_09350,False
Avin_09370,False
Avin_09460,False
Avin_09640,True
Avin_09690,False
Avin_09724,False
Avin_09800,False
Avin_09810,False
Avin_09880,False
Avin_09890,True
Avin_09900,False
Avin_09920,False
Avin_09930,False
Avin_09970,False
Avin_10050,False
Avin_10180,False
Avin_10220,False
Avin_10230,False
Avin_10260,False
Avin_10270,False
Avin_10280,False
Avin_10430,False
Avin_10490,False
Avin_10520,False
Avin_10530,False
Avin_10540,False
Avin_10600,False
Avin_10620,True
Avin_10630,False
Avin_10660,False
Avin_10680,False
Avin_10700,False
Avin_10710,False
Avin_10720,False
Avin_10770,False
Avin_10780,False
Avin_10790,False
Avin_10850,False
Avin_10860,False
Avin_10920,False
Avin_10930,False
Avin_10940,False
Avin_10960,False
Avin_10970,False
Avin_11040,False
Avin_11050,False
Avin_11090,False
Avin_11180,False
Avin_11260,False
Avin_11270,False
Avin_11280,False
Avin_11600,False
Avin_11620,True
Avin_11650,False
Avin_11670,False
Avin_11680,True
Avin_11760,False
Avin_11770,False
Avin_11780,True
Avin_11810,True
Avin_11920,True
